
 num     #instances         #bytes  class name
 277:            35            560  java.lang.ref.ReferenceQueue$Lock
 278:            10            560  sun.java2d.loops.RenderCache$Entry
 279:            14            560  java.awt.dnd.DropTargetContext
 280:            14            560  javax.swing.text.JTextComponent$MutableCaretEvent
 281:            14            560  javax.swing.text.JTextComponent$KeymapActionMap
 282:            14            560  javax.swing.text.GapContent$MarkVector
 283:             5            560  sun.java2d.loops.RenderLoops
 284:            23            552  java.awt.font.TextAttribute
 285:            23            552  de.schmiereck.noiseComp.generator.InputTypesData
 286:            10            528  [Ljavax.swing.SizeRequirements;
 287:            13            520  javax.swing.KeyboardManager$ComponentKeyStrokePair
 288:            13            520  com.sun.java.swing.plaf.windows.WindowsScrollBarUI$1
 289:            13            520  javax.swing.ComponentInputMap
 290:            13            520  javax.swing.plaf.basic.BasicScrollBarUI$TrackListener
 291:            16            512  javax.swing.border.EmptyBorder
 292:             8            512  sun.font.StrikeCache$SoftDisposerRef
 293:            16            512  com.sun.java.swing.plaf.windows.TMSchema$Control
 294:             9            504  [Ljava.util.Set;
 295:             7            504  java.util.concurrent.ConcurrentHashMap
 296:             7            504  sun.misc.Cleaner
 297:             3            504  sun.awt.image.ByteInterleavedRaster
 298:             9            504  java.util.Collections$SynchronizedMap
 299:             7            504  javax.swing.plaf.basic.DefaultMenuLayout
 300:             2            496  [Ljavax.swing.Action;
 301:             5            480  java.util.prefs.WindowsPreferences
 302:             5            480  javax.swing.UIDefaults
 303:            15            480  com.sun.java.swing.plaf.windows.WindowsIconFactory$VistaMenuItemCheckIconFactory$VistaMenuItemCheckIcon
 304:            15            480  javax.swing.plaf.ActionMapUIResource
 305:            20            480  java.nio.channels.spi.AbstractInterruptibleChannel$1
 306:            15            480  java.util.regex.Pattern$GroupTail
 307:            12            480  javax.swing.DefaultSingleSelectionModel
 308:            15            480  java.util.regex.Pattern$GroupHead
 309:            15            480  sun.awt.windows.WDesktopProperties$WinPlaySound
 310:             8            448  javax.swing.ActionPropertyChangeListener$OwnedWeakReference
 311:             8            448  sun.font.FontStrikeDesc
 312:             8            448  sun.font.StrikeMetrics
 313:            14            448  java.io.File
 314:            14            448  sun.awt.CausedFocusEvent$Cause
 315:            14            448  javax.swing.plaf.InsetsUIResource
 316:            11            440  com.sun.java.swing.plaf.windows.WindowsPopupMenuUI
 317:            11            440  javax.swing.plaf.ComponentInputMapUIResource
 318:            18            432  java.util.Collections$UnmodifiableSet
 319:            13            416  javax.swing.plaf.basic.BasicScrollBarUI$ScrollListener
 320:             5            400  sun.font.CMap$CMapFormat4
 321:             1            400  [Ljava.awt.Image;
 322:             5            400  java.util.ResourceBundle$CacheKey
 323:             7            392  java.lang.ThreadLocal$ThreadLocalMap$Entry
 324:             7            392  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$WindowsFontProperty
 325:             3            392  [[J
 326:             4            384  javax.swing.table.TableColumn
 327:             8            384  java.util.regex.Pattern$Branch
 328:            12            384  javax.swing.plaf.basic.BasicSplitPaneDivider$OneTouchActionHandler
 329:            16            384  javax.swing.UIDefaults$LazyInputMap
 330:            16            384  java.util.regex.Pattern$CharPropertyNames$4
 331:             8            384  java.lang.OutOfMemoryError
 332:             8            384  java.util.regex.Pattern$Curly
 333:             8            384  javax.swing.text.DefaultEditorKit$NextVisualPositionAction
 334:             1            376  javax.swing.ImageIcon$3
 335:             1            368  javax.swing.ImageIcon$1
 336:             9            360  [Ljava.io.ObjectStreamField;
 337:             9            360  com.sun.java.swing.plaf.windows.XPStyle$XPFillBorder
 338:             9            360  java.util.logging.Level
 339:             5            360  java.util.Properties
 340:             5            360  sun.java2d.loops.DrawParallelogram
 341:             5            360  sun.java2d.loops.FillParallelogram
 342:             3            360  sun.font.FontDesignMetrics
 343:             9            360  sun.swing.SwingUtilities2$2
 344:             9            360  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$XPBorderValue
 345:            11            352  java.util.BitSet
 346:            11            352  javax.swing.plaf.basic.BasicPopupMenuUI$BasicMenuKeyListener
 347:             4            352  javax.swing.tree.VariableHeightLayoutCache$TreeStateNode
 348:             3            336  java.awt.image.IndexColorModel
 349:             3            336  sun.nio.cs.MS1252$Encoder
 350:             6            336  javax.swing.event.SwingPropertyChangeSupport
 351:             6            336  com.sun.media.sound.HeadspaceMixer$MixerReverbControl$MixerReverbType
 352:             7            336  java.lang.ClassLoader$NativeLibrary
 353:            14            336  javax.swing.text.DefaultCaret$Handler
 354:            14            336  javax.swing.JTextField$ScrollRepainter
 355:            14            336  com.sun.java.swing.plaf.windows.AnimationController$PartUIClientPropertyKey
 356:             6            336  javax.swing.plaf.basic.BasicSplitPaneUI$BasicHorizontalLayoutManager
 357:             3            328  [Lsun.font.PhysicalStrike;
 358:             3            328  [Lsun.font.CharToGlyphMapper;
 359:             3            328  [[Ljava.lang.String;
 360:             5            320  java.util.IdentityHashMap
 361:             4            320  java.util.jar.JarFile
 362:             5            320  javax.swing.border.TitledBorder
 363:             8            320  [Ljava.util.regex.Pattern$Node;
 364:             5            320  java.util.ResourceBundle$BundleReference
 365:             8            320  java.util.LinkedList
 366:             8            320  java.util.Stack
 367:            13            312  java.lang.Long
 368:            13            312  javax.swing.plaf.basic.BasicScrollBarUI$ModelListener
 369:            13            312  javax.swing.plaf.basic.BasicScrollBarUI$Handler
 370:            13            312  java.awt.Point
 371:            13            312  javax.swing.JScrollBar$ModelListener
 372:             7            312  [Ljava.awt.Component;
 373:            12            288  java.awt.AlphaComposite
 374:             9            288  javax.swing.plaf.BorderUIResource$CompoundBorderUIResource
 375:             9            288  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$LazyWindowsIcon
 376:            12            288  javax.swing.JViewport$ViewListener
 377:             4            288  de.schmiereck.noiseComp.generator.signal.SinusGenerator
 378:             9            288  sun.awt.SunHints$Key
 379:             9            288  sun.misc.MetaIndex
 380:             1            288  com.sun.java.swing.plaf.windows.WindowsTreeUI
 381:             5            280  java.util.ResourceBundle$LoaderReference
 382:             5            280  [[Lsun.awt.FontDescriptor;
 383:             5            280  [[S
 384:             5            280  javax.swing.plaf.basic.BasicListUI$Handler
 385:             5            280  com.sun.java.swing.plaf.windows.TMSchema$TypeEnum
 386:             2            272  [Ljava.awt.Cursor;
 387:             3            264  java.awt.GridBagLayout
 388:            11            264  javax.swing.plaf.basic.BasicPopupMenuUI$BasicPopupMenuListener
 389:             8            256  javax.swing.AbstractButton$ButtonActionPropertyChangeListener
 390:             8            256  java.util.regex.Pattern$BitClass
 391:             4            256  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$TriggerDesktopProperty
 392:             8            256  javax.swing.DropMode
 393:             4            256  javax.swing.JToggleButton$ToggleButtonModel
 394:             8            256  javax.swing.tree.TreePath
 395:             3            240  sun.font.CompositeStrike
 396:            10            240  java.util.Formatter$Flags
 397:             5            240  java.awt.font.FontRenderContext
 398:             3            240  sun.swing.ImageIconUIResource
 399:             5            240  sun.font.TrueTypeGlyphMapper
 400:             3            232  [Ljava.lang.Thread;
 401:             2            232  [[D
 402:             1            232  sun.awt.windows.WFramePeer
 403:             2            224  java.util.jar.JarFile$JarFileEntry
 404:             2            224  sun.net.www.protocol.jar.URLJarFile
 405:             7            224  java.nio.DirectByteBuffer$Deallocator
 406:             9            216  javax.swing.plaf.basic.BasicScrollPaneUI$Handler
 407:             9            216  javax.swing.text.StyleConstants$ParagraphConstants
 408:             9            216  javax.sound.sampled.FloatControl$Type
 409:             2            208  javax.swing.JRootPane$1
 410:             1            208  de.schmiereck.noiseComp.swingView.timelineSelect.TimelinesDrawPanelModel
 411:             5            200  javax.swing.plaf.basic.BasicComboBoxUI$DefaultKeySelectionManager
 412:             5            200  java.awt.FlowLayout
 413:             5            200  java.lang.RuntimePermission
 414:             5            200  javax.swing.DefaultComboBoxModel
 415:             5            200  javax.swing.AncestorNotifier
 416:             8            192  com.sun.java.swing.plaf.windows.WindowsMenuItemUI$1
 417:             8            192  de.schmiereck.noiseComp.generator.GeneratorChangeObserver
 418:             2            192  javax.swing.plaf.FontUIResource
 419:             6            192  java.util.regex.Pattern$Ctype
 420:             8            192  javax.swing.plaf.basic.BasicMenuItemUI$Handler
 421:             3            192  sun.font.FontDesignMetrics$KeyReference
 422:             2            192  java.awt.GridBagLayoutInfo
 423:             8            192  sun.java2d.loops.RenderCache
 424:             8            192  java.util.regex.Pattern$BranchConn
 425:             6            192  java.util.regex.Pattern$Single
 426:             3            192  sun.awt.FontDescriptor
 427:             4            192  java.security.Permissions
 428:             2            192  java.util.regex.Pattern
 429:             2            192  sun.nio.cs.StreamEncoder
 430:             3            192  com.sun.media.sound.SimpleInputDeviceProvider$InputDeviceInfo
 431:             4            192  java.util.Collections$UnmodifiableMap
 432:             1            192  java.awt.EventDispatchThread
 433:             3            192  java.awt.image.PixelInterleavedSampleModel
 434:             8            192  java.util.regex.Pattern$CharPropertyNames$3
 435:             4            192  javax.swing.plaf.basic.BasicToolBarUI$Handler
 436:             4            192  javax.swing.text.DefaultEditorKit$VerticalPageAction
 437:             8            192  java.util.HashMap$KeySet
 438:             8            192  java.lang.ThreadLocal
 439:             2            192  java.awt.BorderLayout
 440:             1            184  [Lsun.font.FileFont;
 441:             1            184  [Lcom.sun.java.swing.plaf.windows.TMSchema$Prop;
 442:             1            184  [Lsun.font.CompositeFont;
 443:             1            184  com.sun.media.sound.MixerThread
 444:             2            176  java.io.ExpiringCache$1
 445:            11            176  javax.swing.JMenuItem$MenuItemFocusListener
 446:             1            176  java.util.logging.LogManager$Cleaner
 447:             2            176  sun.java2d.d3d.D3DGeneralBlit
 448:             1            176  sun.java2d.d3d.D3DGraphicsDevice
 449:             3            168  sun.misc.URLClassPath
 450:             3            168  java.awt.Cursor
 451:             1            168  java.lang.ref.Finalizer$FinalizerThread
 452:             3            168  java.security.CodeSource
 453:             1            168  sun.awt.windows.WFontConfiguration
 454:             1            168  java.lang.ref.Reference$ReferenceHandler
 455:             3            168  com.sun.media.sound.PortMixerProvider$PortMixerInfo
 456:             3            168  java.security.ProtectionDomain
 457:             3            168  sun.font.CompositeGlyphMapper
 458:             3            168  java.awt.image.DataBufferByte
 459:             1            168  javax.swing.ToolTipManager
 460:             7            168  javax.swing.text.StyleConstants$CharacterConstants
 461:             1            160  [Ljava.awt.geom.AffineTransform;
